cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
268033757328898590619915526673215085567;13646-AVIS-SOC-GLASSDOOR-E3489_P1.html;2021-03-28 15:57:24;0;LVMH;Sep 25, 2019; Excellence ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez LVMH à temps plein;Terrain de jeu sans limites;Forte résilience et capacité de travail
222121696692554664186563671483340800124;13646-AVIS-SOC-GLASSDOOR-E3489_P1.html;2021-03-28 15:57:24;0;LVMH;Sep 18, 2019; Bon employeur ;Employé actuel - Chef De Produits;Paris;Recommande;Je travaille chez LVMH à temps plein depuis moins d'un an;Bonne rémunération, beaux produits sur lesquels travailler, prime d'intéressement;L'ambiance de travail peut être compliquée, tout dépend de l'équipe dans laquelle on tombe Equilibre vie privée/vie pro pas réellement respecté
295011834601560974514963849795841650401;13646-AVIS-SOC-GLASSDOOR-E3489_P1.html;2021-03-28 15:57:24;0;LVMH;Jun 20, 2019; Avis environnement ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez LVMH à temps plein;International Ambiance salaire carrière evolution;Horaires manque de dynamisme affaires
220810160793596221907959687952158188343;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Oct 17, 2019; Peu d'avantage ;Ancien employé - Employé anonyme;NULL;Approuve le PDG;J'ai travaillé chez Groupe Adéquat à temps plein;Bienveillance, autonomie pour les commerciaux.;Pas de 13ème mois, ni de RTT, salaires assez bas.
70883225826779122674106597964952678398;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Sep 16, 2019; Avantages ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Groupe Adéquat à temps partiel;Bonne n e ambiance Rtt une demi journée pour chaque salarié;Pas de ce Car franchise
47296602172508854879669588817261721862;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Jul 18, 2019; Il y a bien mieux ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Groupe Adéquat à temps plein;Mutuelle et carte Tickets restaurants;Pas d’avantages pour les employés
311695515432629483639670667431855028482;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;May 25, 2019; Assistante commerciale ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Groupe Adéquat à temps plein;Commissions atteignable 150 euros de carte resto par mois Mutuelle intéréssante Prime intéressement;Salaire fixe pas très élevé mais les autres avantages compenses
234923434278154628111378396208404515347;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Jan 5, 2019; pourrait mieux faire ;Employé actuel - assistante juridique;NULL;Recommande;Je travaille chez Groupe Adéquat à temps plein;bonne ambiance, tickets restaurants, mutuelle bonne et réactive;pas d'avantages sociaux hormis les tickets restaurants,
282423301704901702771119901259403152398;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Dec 18, 2018; Groupe familial à taille humaine ;Ancien employé - Reponsable D'agence;Grenoble;Recommande;J'ai travaillé chez Groupe Adéquat à temps plein plus de 5 ans;Autonomie, flexibilité, culture d'entreprise, évolution de carrière;Manque de moyens informatiques, retard dématérialisation
313224074108342908889010180924450825891;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Nov 7, 2018; Mission intérimaire ;;NULL;Recommande;Je travaille chez Groupe Adéquat à ;Les missions proposés sont fréquentes;Les horaires, mission trop courte 4/5h
77153697263102250565208151192759260562;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Oct 3, 2018; Avis général ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Groupe Adéquat à temps plein;Les tâches sont très variées.;Trop de travail pour une petite équipe.
211534218573810203961025087527928039318;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:24;0;Groupe Adéquat;Jan 2, 2018; Les valeurs du groupe ne sont pas un leurre ;Employé actuel - Consultant recrutement;Lyon;Recommande;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;Travailler dans une société où la simplicité et l'humain sont au coeur de la structure. Bienveillance en interne pour que être bienveillant avec nos candidats et intérimaires.  Les salaires fixes ne sont pas énormes mais le variable est important et ACCESSIBLE !  La direction n'est qu'à un ou deux niveau au dessus de chaque employé ! Vous pouvez communiquer avec votre DG sans problème;Pas d’avantages pour les employés
75890072523535090740964002691142462690;13559-AVIS-SOC-GLASSDOOR-E13824_P1.html;2021-03-28 15:57:24;0;SolidWorks;Mar 18, 2017; Etudiant enim ;Employé actuel - Employé anonyme;Metz;Ne recommande pas;Je travaille chez SolidWorks à temps plein depuis plus de 3 ans;école sérieuse, formant de bons ingénieurs, reconnu auprès de l'industrie;relation avec le corps enseignant
324046495214543160899256832625517670868;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Dec 12, 2019; 100 à l’heure ;Employé actuel - Principal;Issy;Recommande;Je travaille chez Capgemini Invent à temps plein depuis plus de 3 ans;Environnement extrêmement stimulant avec des équipes très brillantes. Rôle de conseil en management avec un focus digital et data très opérationnel et concret - tres complet;Demande une certaine résilience - gros horaires - et une grande autonomie - processus et management pas très cadré
54904240273392500401745568220635039070;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Nov 25, 2019; Bon tremplin ;Employé actuel - Manager;NULL;Recommande;Je travaille chez Capgemini Invent à temps plein depuis plus de 5 ans;Mobilité internationale, diversité des projets, culture;Horaires, niveau de rémunération en comparaison avec les petits cabinets
184961054918982224744419014325672136142;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Nov 21, 2019; Une excellente école du conseil en tranfo digitale ;Employé actuel - Senior Consultant;Paris;Ne recommande pas;Je travaille chez Capgemini Invent à temps plein depuis moins d'un an;Des clients, secteurs et missions très variés la possibilité de se former;Cabinet de conseil de très grande taille mais des pôles de compétences à taille plus humaine
317654358669947421364965425430053269586;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Nov 15, 2019; Pas mal ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Capgemini Invent à temps plein;Bonne ambiance Bon accompagnement de carrière;Pas d’avantages pour les employés
80375052487983647787432441358610197090;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Nov 14, 2019; Perte de temps ;Ancien employé - Consultant;Paris;Ne recommande pas;J'ai travaillé chez Capgemini Invent à temps plein moins d'un an;- Bon apprentissage de la réalité du travail en SSII - Bon CE;- Grave problème de staffing: des consultants sur le bench des mois durant sans perspective d’amélioration ni de possibilité de monter en compétence. Lorsqu’un besoin arrive, les managers se battent  pour placer les consultants de leur entité sans prendre en compte les compétences de ceux-ci. La longueur du process de recrutement (6+ mois voir plus d’un an) devrait permettre une meilleure maîtrise de ces périodes... mais en vain : de nouvelles recrues arrivent chaque mois pour cirer le banc de touche... - Des missions très tournées vers les DSI/l’IT, on reste dans une SSII - Management pyramidal, alors que l’apprentissage se fait sur le tas
241393425229637090783283118112891243715;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:24;0;Capgemini Invent;Nov 13, 2019; Innovation en externe et en interne ;Employé actuel - Learning Business Partner;Issy;Recommande;Je travaille chez Capgemini Invent à temps partiel depuis moins d'un an;L'innovation au coeur de toutes les initiatives en externe (clients) et en interne (Digital Workplace) Efforts sur le Work-Life Balance Grande ouverture d'esprit et place pour l'impertinence constructive Humanité, équipes  7 très belles valeurs, traduites dans le quotidien;Outils internes et process à améliorer ("les cordonniers les plus mal chaussés...")
73654298504446228060280373884292668747;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:25;0;Capgemini Invent;Nov 12, 2019; Bonne ;Employé actuel - Employé anonyme;Paris;Recommande;Je travaille chez Capgemini Invent à temps plein;salaire attractif + avantages beau lieu de travail (147) missions formatrices agilité et positionnement marché qualité des people bons managers recherche de valeur client et d'innovation;outils internes  sont souvent perfectibles
